,Subject,Start Date,End Date,Start Time,End Time,All Day Event,Location
19,Lebanon vs. Canada,08/27/2023,08/27/2023,11:45,13:45,False,"Jakarta (INA), Indonesia Arena"
20,Philippines vs. Angola,08/27/2023,08/27/2023,14:00,16:00,False,"Manila (PHI), Araneta Coliseum"
21,Japan vs. Finland,08/27/2023,08/27/2023,14:10,16:10,False,"Okinawa (JPN), Okinawa Arena"
22,Lithuania vs. Mexico,08/27/2023,08/27/2023,14:30,16:30,False,"Manila (PHI), Mall of Asia Arena"
23,France vs. Latvia,08/27/2023,08/27/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
24,China vs. South Sudan,08/28/2023,08/28/2023,10:00,12:00,False,"Manila (PHI), Araneta Coliseum"
25,Venezuela vs. Cape Verde,08/28/2023,08/28/2023,10:00,12:00,False,"Okinawa (JPN), Okinawa Arena"
26,New Zealand vs. Jordan,08/28/2023,08/28/2023,10:45,12:45,False,"Manila (PHI), Mall of Asia Arena"
27,Cote d'Ivoire vs. Iran,08/28/2023,08/28/2023,11:45,13:45,False,"Jakarta (INA), Indonesia Arena"
28,Georgia vs. Slovenia,08/28/2023,08/28/2023,13:30,15:30,False,"Okinawa (JPN), Okinawa Arena"
29,Puerto Rico vs. Serbia,08/28/2023,08/28/2023,14:00,16:00,False,"Manila (PHI), Araneta Coliseum"
30,Greece vs. USA,08/28/2023,08/28/2023,14:40,16:40,False,"Manila (PHI), Mall of Asia Arena"
31,Brazil vs. Spain,08/28/2023,08/28/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
32,Germany vs. Finland,08/29/2023,08/29/2023,9:30,11:30,False,"Okinawa (JPN), Okinawa Arena"
33,Angola vs. Dominican Republic,08/29/2023,08/29/2023,10:00,12:00,False,"Manila (PHI), Araneta Coliseum"
34,Egypt vs. Mexico,08/29/2023,08/29/2023,10:45,12:45,False,"Manila (PHI), Mall of Asia Arena"
35,Lebanon vs. France,08/29/2023,08/29/2023,11:45,13:45,False,"Jakarta (INA), Indonesia Arena"
36,Australia vs. Japan,08/29/2023,08/29/2023,13:10,15:10,False,"Okinawa (JPN), Okinawa Arena"
37,Philippines vs. Italy,08/29/2023,08/29/2023,14:00,16:00,False,"Manila (PHI), Araneta Coliseum"
38,Montenegro vs. Lithuania,08/29/2023,08/29/2023,14:30,16:30,False,"Manila (PHI), Mall of Asia Arena"
39,Canada vs. Latvia,08/29/2023,08/29/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
40,South Sudan vs. Serbia,08/30/2023,08/30/2023,10:00,12:00,False,"Manila (PHI), Araneta Coliseum"
41,Georgia vs. Venezuela,08/30/2023,08/30/2023,10:00,12:00,False,"Okinawa (JPN), Okinawa Arena"
42,USA vs. Jordan,08/30/2023,08/30/2023,10:40,12:40,False,"Manila (PHI), Mall of Asia Arena"
43,Cote d'Ivoire vs. Brazil,08/30/2023,08/30/2023,11:45,13:45,False,"Jakarta (INA), Indonesia Arena"
44,Slovenia vs. Cape Verde,08/30/2023,08/30/2023,13:30,15:30,False,"Okinawa (JPN), Okinawa Arena"
45,China vs. Puerto Rico,08/30/2023,08/30/2023,14:00,16:00,False,"Manila (PHI), Araneta Coliseum"
46,Greece vs. New Zealand,08/30/2023,08/30/2023,14:40,16:40,False,"Manila (PHI), Mall of Asia Arena"
47,Iran vs. Spain,08/30/2023,08/30/2023,15:30,17:30,False,"Jakarta (INA), Indonesia Arena"
48,Group E 3 vs. Group F 4,08/31/2023,08/31/2023,00:00,00:00,True,
49,Group F 3 vs. Group E 4,08/31/2023,08/31/2023,00:00,00:00,True,
50,Group A 3 vs. Group B 4,08/31/2023,08/31/2023,00:00,00:00,True,
51,Group B 3 vs. Group A 4,08/31/2023,08/31/2023,00:00,00:00,True,
52,Group C 3 vs. Group D 4,08/31/2023,08/31/2023,00:00,00:00,True,
53,Group D 3 vs. Group C 4,08/31/2023,08/31/2023,00:00,00:00,True,
54,Group G 3 vs. Group H 4,08/31/2023,08/31/2023,00:00,00:00,True,
55,Group H 3 vs. Group G 4,08/31/2023,08/31/2023,00:00,00:00,True,
56,Group E 1 vs. Group F 2,09/01/2023,09/01/2023,00:00,00:00,True,
57,Group F 1 vs. Group E 2,09/01/2023,09/01/2023,00:00,00:00,True,
58,Group A 1 vs. Group B 2,09/01/2023,09/01/2023,00:00,00:00,True,
59,Group B 1 vs. Group A 2,09/01/2023,09/01/2023,00:00,00:00,True,
60,Group C 1 vs. Group D 2,09/01/2023,09/01/2023,00:00,00:00,True,
61,Group D 1 vs. Group C 2,09/01/2023,09/01/2023,00:00,00:00,True,
62,Group G 1 vs. Group H 2,09/01/2023,09/01/2023,00:00,00:00,True,
63,Group H 1 vs. Group G 2,09/01/2023,09/01/2023,00:00,00:00,True,
64,Group E 4 vs. Group F 4,09/02/2023,09/02/2023,00:00,00:00,True,
65,Group E 3 vs. Group F 3,09/02/2023,09/02/2023,00:00,00:00,True,
66,Group A 4 vs. Group B 4,09/02/2023,09/02/2023,00:00,00:00,True,
67,Group A 3 vs. Group B 3,09/02/2023,09/02/2023,00:00,00:00,True,
68,Group C 4 vs. Group D 4,09/02/2023,09/02/2023,00:00,00:00,True,
69,Group C 3 vs. Group D 3,09/02/2023,09/02/2023,00:00,00:00,True,
70,Group G 4 vs. Group H 4,09/02/2023,09/02/2023,00:00,00:00,True,
71,Group G 3 vs. Group H 3,09/02/2023,09/02/2023,00:00,00:00,True,
72,Group E 2 vs. Group F 2,09/03/2023,09/03/2023,00:00,00:00,True,
73,Group E 1 vs. Group F 1,09/03/2023,09/03/2023,00:00,00:00,True,
74,Group A 2 vs. Group B 2,09/03/2023,09/03/2023,00:00,00:00,True,
75,Group A 1 vs. Group B 1,09/03/2023,09/03/2023,00:00,00:00,True,
76,Group C 2 vs. Group D 2,09/03/2023,09/03/2023,00:00,00:00,True,
77,Group C 1 vs. Group D 1,09/03/2023,09/03/2023,00:00,00:00,True,
78,Group G 2 vs. Group H 2,09/03/2023,09/03/2023,00:00,00:00,True,
79,Group G 1 vs. Group H 1,09/03/2023,09/03/2023,00:00,00:00,True,
80,Group I 1 vs. Group J 2,09/05/2023,09/05/2023,00:00,00:00,True,
81,Group J 1 vs. Group I 2,09/05/2023,09/05/2023,00:00,00:00,True,
82,Group K 1 vs. Group L 2,09/06/2023,09/06/2023,00:00,00:00,True,
83,Group L 1 vs. Group K 2,09/06/2023,09/06/2023,00:00,00:00,True,
84,Loser QF 81: I1 v J2 vs. Loser QF 83: K1 v L2,09/07/2023,09/07/2023,00:00,00:00,True,
85,Loser QF 82: J1 v I2 vs. Loser QF 84: L1 v K2,09/07/2023,09/07/2023,00:00,00:00,True,
86,Winner QF 81: I1 v J2 vs. Winner QF 83: K1 v L2,09/08/2023,09/08/2023,00:00,00:00,True,
87,Winner QF 82: J1 v I2 vs. Winner QF 84: L1 v K2,09/08/2023,09/08/2023,00:00,00:00,True,
88,Loser CL 5-8 85: L QF 81 v L QF 83 vs. Loser CL 5-8 86: L QF 82 v L QF 84,09/09/2023,09/09/2023,00:00,00:00,True,
89,Winner CL 5-8 85: L QF 81 v L QF 83 vs. Winner CL 5-8 86: L QF 82 v L QF 84,09/09/2023,09/09/2023,00:00,00:00,True,
90,Loser SF 87: W QF 81 v W QF 83 vs. Loser SF 88: W QF 82 v W QF 84,09/10/2023,09/10/2023,10:30,12:30,False,"Manila (PHI), Mall of Asia Arena"
91,Winner SF 87: W QF 81 v W QF 83 vs. Winner SF 88: W QF 82 v W QF 84,09/10/2023,09/10/2023,14:40,16:40,False,"Manila (PHI), Mall of Asia Arena"
